fullName,username,github,lab01,lab02,pandas,lab03,wt01,lab04,wt02,lab05,wt3,aio,tasks,tasks_check,sem_approved,sem,sem_late,sem_check,extra,total,mark
xxx,xxx,xxx,5,5,3.125,4.5,5,,5,,,,27.625,true,true,40,-10,true,3,60.625,D
xxx,xxx,,,,,,,,,,,,0,false,,,,false,,0,F
xxx,xxx,xxx,5,5,5,4.5,5,,5,,5,,34.5,true,true,45.5,0,true,,80,B
xxx,xxx,xxx,5,5,3.125,5,5,2,5,,5,5,40.125,true,true,45,0,true,5,90.125,A
xxx,xxx,xxx,5,5,1.875,5,5,,1,4.5,,,27.375,true,true,43,0,true,,70.375,C
xxx,xxx,,,,,,,,,,,,0,false,,,,false,,0,F
xxx,xxx,xxx,5,5,5,5,5,5,5,4.5,5,,44.5,true,true,45.5,0,true,,90,A
xxx,xxx,xxx,5,3,,5,5,5,5,,,,28,true,true,45,,true,,73,C
xxx,xxx,xxx,5,5,4.375,5,5,5,,4.5,5,,38.875,true,true,50,0,true,3,91.875,A
xxx,xxx,,,,,,,,,,,,0,false,,,,false,,0,F
xxx,xxx,,5,,5,5,5,5,5,4,5,4,43,true,true,,,false,1,44,F
xxx,xxx,xxx,5,5,5,5,5,,,5,5,,35,true,true,,,false,1,36,F
xxx,xxx,xxx,5,,5,5,5,,5,,5,,30,true,true,,,false,,30,F
xxx,xxx,xxx,5,5,3.75,5,5,,5,5,5,3,41.75,true,true,48,0,true,2,91.75,A
xxx,xxx,,4,5,3.75,5,,,,4,,,21.75,false,,,,false,1,22.75,F
xxx,xxx,xxx,5,5,5,5,5,3,5,2,,,35,true,true,,,false,,35,F
xxx,xxx,,,,,,,,,,,,0,false,,,,false,,0,F
xxx,xxx,xxx,5,5,5,5,5,5,5,5,5,5,50,true,true,50,-10,true,1,91,A
xxx,xxx,xxx,5,,4.375,5,4,,2,,,,20.375,false,,,,false,,20.375,F
xxx,xxx,xxx,,,4.375,2,,,,,,,6.375,false,,,,false,,6.375,F
xxx,xxx,xxx,5,5,4.6,4.5,5,3.5,,,,,27.6,true,true,,,false,,27.6,F
xxx,xxx,xxx,1,,4.375,4.8,5,,,4,,,19.175,false,true,,,false,,19.175,F
xxx,xxx,xxx,2,,4.375,4.8,5,5,2,4.5,5,,32.675,true,true,40,0,true,,72.675,C
xxx,xxx,xxx,5,5,5,5,5,,2,5,2.5,,34.5,true,true,44,-10,true,2,70.5,C
xxx,xxx,,,,,,,,,,,,0,false,,,,false,,0,F
xxx,xxx,xxx,5,4.5,,5,3.75,,,5,5,,28.25,true,true,,,false,,28.25,F
xxx,xxx,xxx,,5,5,4.5,4,,4.5,,4.5,,27.5,true,true,32.5,-10,true,,50,E
xxx,xxx,xxx,5,5,5,5,5,,,,5,,30,true,true,32,-10,true,1,53,E
xxx,xxx,xxx,1,,3.75,,,,,,,,4.75,false,,,,false,,4.75,F
xxx,xxx,xxx,5,4,3.75,4,5,,3,,2.5,,27.25,true,true,43,0,true,,70.25,C
xxx,xxx,xxx,5,3,4.375,4.5,,,,5,5,,26.875,true,true,37,,true,1,64.875,D
xxx,xxx,,,,,,,,,,,,0,false,,,,false,,0,F
xxx,xxx,,,,5,5,5,,,4,5,2.5,26.5,true,true,50,-10,true,1,67.5,D
xxx,xxx,,,,,,,,,,,,0,false,,,,false,,0,F
xxx,xxx,xxx,2,,3.75,3,,,,,,,8.75,false,,,,false,,8.75,F
xxx,xxx,xxx,5,3,5,3.5,5,4,2,4.5,4,2,38,true,true,50,0,true,,88,B
xxx,xxx,xxx,5,4,5,2,5,,2,5,5,,33,true,true,38,0,true,1,72,C
xxx,xxx,,4,5,3,5,4.5,5,,3.5,4,,34,true,,,,false,,34,F
xxx,xxx,xxx,5,4,4.6,4.7,,5,,4.2,,,27.5,true,true,50,-10,true,,67.5,D
xxx,xxx,xxx,3,,4.375,,,,,,,,7.375,false,,,,false,,7.375,F
xxx,xxx,xxx,5,5,5,5,5,5,5,4.5,5,4,48.5,true,true,42,0,true,,90.5,A
xxx,xxx,,,,,,,,,,,,0,false,,,,false,,0,F
xxx,xxx,,5,3,,4.8,5,3,,4.2,,,25,true,true,,,false,,25,F
xxx,xxx,,,,,,,,,,,,0,false,,,,false,,0,F
